"","X","url","author","title","journal","year","doi","JIF","maxRank","id","times.cited","coauthor","intext","librarian"
"1",1,"https://www.ncbi.nlm.nih.gov/pubmed/27280404
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900559/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900559/pdf/pone.0156506.pdf","Lisa L. Abuogi and Christiana Smith and Elizabeth J. McFarland","Retention of HIV-Infected Children in the First 12 Months of Anti-Retroviral Therapy and Predictors of Attrition in Resource Limited Settings: A Systematic Review","PLOS ONE",2016,"10.1371/journal.pone.0156506",2.806,77.34,"pubmed/27280404",13,FALSE,FALSE,FALSE
"2",2,"https://www.ncbi.nlm.nih.gov/pubmed/25152864
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4129238/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4129238/pdf/40572_2014_Article_22.pdf","Sara D. Adar and Paola A. Filigrana and Nicholas Clements and Jennifer L. Peel","Ambient Coarse Particulate Matter and Human Health: A Systematic Review and Meta-Analysis","CURRENT ENVIRONMENTAL HEALTH REPORTS",2014,"10.1007/s40572-014-0022-z",NA,NA,"pubmed/25152864",NA,FALSE,FALSE,FALSE
"3",3,"https://www.ncbi.nlm.nih.gov/pubmed/29740502
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5903682/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5903682/pdf/jogh-08-010419.pdf","Davies Adeloye and Olaperi Y. Sowunmi and Wura Jacobs and Rotimi A. David and Adeyemi A. Adeosun and Ann O. Amuta and Sanjay Misra and Muktar Gadanya and Asa Auta and Michael O. Harhay and Kit Yee Chan","Estimating the incidence of breast cancer in Africa: a systematic review and meta-analysis","JOURNAL OF GLOBAL HEALTH",2018,"10.7189/jogh.08.010419",3.079,77.57,"pubmed/29740502",3,FALSE,FALSE,FALSE
"4",4,"https://www.ncbi.nlm.nih.gov/pubmed/29877715","Muhammad S. Ali and Jaskaran Sethi and Amit Taneja and Ali Musani and Fabien Maldonado","Computed Tomography Bronchus Sign and the Diagnostic Yield of Guided Bronchoscopy for Peripheral Pulmonary Lesions. A Systematic Review and Meta-Analysis","ANNALS OF THE AMERICAN THORACIC SOCIETY",2018,"10.1513/AnnalsATS.201711-856OC",4.026,73.81,"pubmed/29877715",5,FALSE,FALSE,FALSE
"5",5,"https://www.ncbi.nlm.nih.gov/pubmed/29435310
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802672/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802672/pdf/10.1177_2050640617707862.pdf","Ahmad Alkaddour and Carlos Palacio and Kenneth J. Vega","Risk of histologic Barrett's esophagus between African Americans and non-Hispanic whites: A meta-analysis","UNITED EUROPEAN GASTROENTEROLOGY JOURNAL",2018,"10.1177/2050640617707862",3.453,61.31,"pubmed/29435310",1,FALSE,FALSE,FALSE
"6",6,"https://www.ncbi.nlm.nih.gov/pubmed/28216033
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346461/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5346461/pdf/nihms-840696.pdf","Corey H. Allen and Benzi M. Kluger and Isabelle Buard","Safety of Transcranial Magnetic Stimulation in Children: A Systematic Review of the Literature","PEDIATRIC NEUROLOGY",2017,"10.1016/j.pediatrneurol.2016.12.009",2.398,73.79,"pubmed/28216033",13,FALSE,FALSE,FALSE
"7",7,"https://www.ncbi.nlm.nih.gov/pubmed/28315586","Mustafa Alquraini and Fayez Alshamsi and Morten Hylander Møller and Emilie Belley-Cote and Saleh Almenawer and Roman Jaeschke and Robert MacLaren and Waleed Alhazzani","Sucralfate versus histamine 2 receptor antagonists for stress ulcer prophylaxis in adult critically ill patients: A meta-analysis and trial sequential analysis of randomized trials","JOURNAL OF CRITICAL CARE",2017,"10.1016/j.jcrc.2017.03.005",2.872,53.03,"pubmed/28315586",4,FALSE,FALSE,FALSE
"8",8,"https://www.ncbi.nlm.nih.gov/pubmed/25362716
http://www.jrheum.org/content/jrheum/41/11/2306.full.pdf","April W. Armstrong and William Tuong and Thorvardur J. Love and Sueli Carneiro and Rachel Grynszpan and Steve S. Lee and Arthur Kavanaugh","Treatments for nail psoriasis: a systematic review by the GRAPPA Nail Psoriasis Work Group","THE JOURNAL OF RHEUMATOLOGY",2014,"10.3899/jrheum.140881",3.187,70.31,"pubmed/25362716",14,FALSE,FALSE,FALSE
"9",9,"https://www.ncbi.nlm.nih.gov/pubmed/26480850
https://iris.unito.it/retrieve/handle/2318/1623611/292388/Open%20Versus%20Laparoscopic%20Adrenalectomy%20for%20Adrenocortical%20Carcinoma_4aperto.pdf","Riccardo Autorino and Pierluigi Bove and Marco {De Sio} and Roberto Miano and Salvatore Micali and Luca Cindolo and Francesco Greco and Jilian Nicholas and Cristian Fiori and Giampaolo Bianchi and Fernando J. Kim and Francesco Porpiglia","Open Versus Laparoscopic Adrenalectomy for Adrenocortical Carcinoma: A Meta-analysis of Surgical and Oncological Outcomes","ANNALS OF SURGICAL ONCOLOGY",2016,"10.1245/s10434-015-4900-x",4.041,91.62,"pubmed/26480850",24,FALSE,FALSE,FALSE
"10",10,"<Go to ISI>://WOS:000332625500003
https://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/1471-2334-14-91","J. Ayieko and L. Abuogi and B. Simchowitz and E. A. Bukusi and A. H. Smith and A. Reingold","Efficacy of isoniazid prophylactic therapy in prevention of tuberculosis in children: a meta-analysis","BMC INFECTIOUS DISEASES",2014,"10.1186/1471-2334-14-91",2.613,50.64,"WOS:000332625500003",43,FALSE,FALSE,FALSE
