"uid","title","journal","issue","volume","pages","date","year","authors","keywords","doi","article_no","isi_id","issn","isbn"
"WOS:000432345100015","INSUFFICIENT EVIDENCE WITHIN A SYSTEMATIC REVIEW AND META-ANALYSIS OF POWERED TOOTHBRUSHES OVER MANUAL TOOTHBRUSHES FOR SOFT TISSUE HEALTH DURING ORTHODONTIC TREATMENT","JOURNAL OF EVIDENCE-BASED DENTAL PRACTICE","2","18","176-177","JUN","2018","Tilliss, Terri | Carey, Clifton M.","Meta-analysis | Systematic review | Power toothbrush | Orthodontics | Periodontal health","10.1016/j.jebdp.2018.03.011",NA,"GG0CF","1532-3382",NA
"WOS:000429554900001","Parental Factors Influencing the Development of Early Childhood Caries in Developing Nations: A Systematic Review","FRONTIERS IN PUBLIC HEALTH",NA,"6","","MAR 16","2018","Rai, Nayanjot Kaur | Tiwari, Tamanna","dental caries | parents | child | risk factors | health knowledge attitudes practice | sociological factors","10.3389/fpubh.2018.00064",NA,"GC1PU",NA,NA
"WOS:000440867200001","Perceptions of trained laypersons in end-of-life or advance care planning conversations: a qualitative meta-synthesis","BMC PALLIATIVE CARE",NA,"17","","AUG 6","2018","Somes, Elizabeth | Dukes, Joanna | Brungardt, Adreanne | Jordan, Sarah | DeSanto, Kristen | Jones, Christine D. | Sanghvi, Urvi Jhaveri | Breathett, Khadijah | Jones, Jacqueline | Lum, Hillary D.","Volunteers | Communication | Hospice care | Palliative care | Terminal care | Lay health navigators | Advance care planning | Peer educators","10.1186/s12904-018-0354-9",NA,"GP4UO","1472-684X",NA
"WOS:000412430000012","Use of Electronic Health Records by Nurses for Symptom Management in Inpatient Settings A Systematic Review","CIN-COMPUTERS INFORMATICS NURSING","9","35","465-472","SEP","2017","Ozkaynak, Mustafa | Reeder, Blaine | Hoffecker, Lilian | Makic, Mary Beth | Sousa, Karen","Electronic health records | Field study | Nurse | Pain | Symptoms","10.1097/CIN.0000000000000329",NA,"FJ0VX","1538-2931",NA
"WOS:000412601800022","Meta-analysis of peripheral blood gene expression modules for COPD phenotypes","PLOS ONE","10","12","","OCT 9","2017","Reinhold, Dominik | Morrow, Jarrett D. | Jacobson, Sean | Hu, Junxiao | Ringel, Benjamin | Seibold, Max A. | Hersh, Craig P. | Kechris, Katerina J. | Bowler, Russell P.","","10.1371/journal.pone.0185682",NA,"FJ3AF","1932-6203",NA
"WOS:000376462300003","Health Worker mHealth Utilization A Systematic Review","CIN-COMPUTERS INFORMATICS NURSING","5","34","206-214","MAY","2016","White, Alice | Thomas, Deborah S. K. | Ezeanochie, Nnamdi | Bull, Sheana","Community health worker | Developing countries | Mobile phone | mHealth",NA,NA,"DM6KY","1538-2931",NA
"WOS:000379911700005","Will Preoperative Smoking Cessation Programs Generate Long-Term Cessation? A Systematic Review and Meta-Analysis","AMERICAN JOURNAL OF MANAGED CARE","11","21","E623-E631","NOV","2015","Berlin, Nicholas L. | Cutter, Christina | Battaglia, Catherine","",NA,NA,"DR4ZF","1088-0224",NA
"WOS:000343021600006","Intradermal Lidocaine or Bacteriostatic Normal Saline to Decrease Pain Before Intravenous Catheter Insertion: A Meta-Analysis","JOURNAL OF PERIANESTHESIA NURSING","5","29","367-376","OCT","2014","Oman, Kathleen S. | Fink, Regina | Kleinen, Catherine | Makic, Mary Beth Flynn | Wenger, Barbara | Hoffecken, Lilian | Mancuso, Mary | Schmiege, Sarah | Cook, Paul","lidocaine | normal saline | intravenous catheter insertion | meta-analysis","10.1016/j.jopan.2013.12.008",NA,"AQ7TH","1089-9472",NA
"WOS:000377563000034","Retention of HIV-Infected Children in the First 12 Months of Anti-Retroviral Therapy and Predictors of Attrition in Resource Limited Settings: A Systematic Review","PLOS ONE","6","11","","JUN 9","2016","Abuogi, Lisa L. | Smith, Christiana | McFarland, Elizabeth J.","","10.1371/journal.pone.0156506",NA,"DO1TW","1932-6203",NA
"WOS:000375036600007","""Are you still driving?"" Metasynthesis of patient preferences for communication with health care providers","TRAFFIC INJURY PREVENTION","4","17","367-373",NA,"2016","Betz, Marian E. | Scott, Kenneth | Jones, Jacqueline | Diguiseppi, Carolyn","driving cessation | transportation safety | older drivers | communication | attitudes and beliefs | qualitative | mobility","10.1080/15389588.2015.1101078",NA,"DK6LX","1538-9588",NA
"WOS:000390623200007","Speaking up behaviours (safety voices) of healthcare workers: A metasynthesis of qualitative research studies","INTERNATIONAL JOURNAL OF NURSING STUDIES",NA,"64","42-51","DEC","2016","Morrow, Kelly J. | Gustavson, Allison M. | Jones, Jacqueline","Caring | Employee | Healthcare | Hierarchies | Nursing | Qualitative | Safety | Voice | Safety voice","10.1016/j.ijnurstu.2016.09.014",NA,"EF9AN","0020-7489",NA
"WOS:000390978200004","Experiences and Values of Latinos with End Stage Renal Disease: A Systematic Review of Qualitative Studies","NEPHROLOGY NURSING JOURNAL","6","43","479-493","NOV-DEC","2016","Cervantes, Lilia | Zoucha, Jeff | Jones, Jacqueline | Fischer, Stacy","End stage renal disease | palliative care | qualitative | Latino | quality of life",NA,NA,"EG3XO","1526-744X",NA
"WOS:000429491000002","Technology, Educator Intention, and Relationships in Virtual Learning Spaces: A Qualitative Metasynthesis","JOURNAL OF NURSING EDUCATION","4","57","197-+","APR","2018","Gdanetz, Lorraine M. | Hamer, Mika K. | Thomas, Eileen | Tarasenko, Lindsey M. | Horton-Deutsch, Sara | Jones, Jacqueline","","10.3928/01484834-20180322-02",NA,"GC0TP","0148-4834",NA
"WOS:000427563500002","Best friend or spy: a qualitative meta-synthesis on the impact of continuous glucose monitoring on life with Type 1 diabetes","DIABETIC MEDICINE","4","35","409-418","APR","2018","Messer, L. H. | Johnson, R. | Driscoll, K. A. | Jones, J.","","10.1111/dme.13568",NA,"FZ4LK","0742-3071",NA
"WOS:000351167800004","Comparative Meta-Analysis of Prazosin and Imagery Rehearsal Therapy for Nightmare Frequency, Sleep Quality, and Posttraumatic Stress","JOURNAL OF CLINICAL SLEEP MEDICINE","1","11","11-22",NA,"2015","Seda, Gilbert | Sanchez-Ortuno, Maria M. | Welsh, Carolyn H. | Halbower, Ann C. | Edinger, Jack D.","posttraumatic stress disorder | nightmares | prazosin | imagery rehearsal therapy | cognitive behavior therapy | insomnia","10.5664/jcsm.4354",NA,"CD5ZN","1550-9389",NA
