"","doi","pmid","uid","title","year","journal"
"1","10.1093/AJCN/NQY107",30535086,"WOS:000444410100007","BODY MASS INDEX IS NEGATIVELY ASSOCIATED WITH TELOMERE LENGTH: A COLLABORATIVE CROSS-SECTIONAL META-ANALYSIS OF 87 OBSERVATIONAL STUDIES.",2019,"The American journal of clinical nutrition"
"2","10.1371/JOURNAL.PONE.0208047",30496322,"WOS:000451763800084","DEFINING PEDIATRIC POLYPHARMACY: A SCOPING REVIEW.",2019,"PloS one"
"3","10.7326/M18-1523",30383133,"WOS:000451806000007","INTERVENTIONS FOR PREVENTING THROMBOEMBOLIC EVENTS IN PATIENTS WITH ATRIAL FIBRILLATION: A SYSTEMATIC REVIEW.",2019,"Annals of internal medicine"
"4","10.7326/M18-1161",30383109,"WOS:000449399700005","CLINICAL OUTCOMES ASSOCIATED WITH SICKLE CELL TRAIT: A SYSTEMATIC REVIEW.",2019,"Annals of internal medicine"
"5","10.1055/S-0038-1675400",30376678,"WOS:000451853100018","PREDICTING THROMBOEMBOLIC AND BLEEDING EVENT RISK IN PATIENTS WITH NON-VALVULAR ATRIAL FIBRILLATION: A SYSTEMATIC REVIEW.",2019,"Thrombosis and haemostasis"
"6","10.1016/J.JEMERMED.2018.09.014",30316619,"WOS:000452309800015","MEDICAL SCREENING OF MENTAL HEALTH PATIENTS IN THE EMERGENCY DEPARTMENT: A SYSTEMATIC REVIEW.",2019,"The Journal of emergency medicine"
"7","10.1016/J.JPEDS.2018.08.008",30293638,"WOS:000450636400030","FACTORS ASSOCIATED WITH BREASTFEEDING INITIATION AND CONTINUATION: A META-ANALYSIS.",2019,"The Journal of pediatrics"
"8","10.1038/S41592-018-0141-9",30275573,"WOS:000448820100027","QIITA: RAPID, WEB-ENABLED MICROBIOME META-ANALYSIS.",2019,"Nature methods"
"9","10.1001/JAMAPEDIATRICS.2018.2847",30193325,"WOS:000449215800002","DIAGNOSIS AND MANAGEMENT OF MILD TRAUMATIC BRAIN INJURY IN CHILDREN: A SYSTEMATIC REVIEW.",2019,"JAMA pediatrics"
"10","10.1177/1526602818794030",30101624,"WOS:000444425200018","PREOPERATIVE USE OF STATINS IN CAROTID ARTERY STENTING: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists"
"11","10.1016/J.BJPS.2018.06.012",30093286,"WOS:000447181500008","HUMAN ACELLULAR DERMIS INCREASES SURGICAL SITE INFECTION AND OVERALL COMPLICATION PROFILE WHEN COMPARED WITH SUBMUSCULAR BREAST RECONSTRUCTION: AN UPDATED META-ANALYSIS INCORPORATING NEW PRODUCTS<SUP>✰</SUP>.",2019,"Journal of plastic, reconstructive &amp; aesthetic surgery : JPRAS"
"12","10.1186/S12904-018-0354-9",30081957,"WOS:000440867200001","PERCEPTIONS OF TRAINED LAYPERSONS IN END-OF-LIFE OR ADVANCE CARE PLANNING CONVERSATIONS: A QUALITATIVE META-SYNTHESIS.",2018,"BMC palliative care"
"13","10.1093/RHEUMATOLOGY/KEY211",30060244,"WOS:000456557500012","SIMULTANEOUS OCCURRENCE OF ANKYLOSING SPONDYLITIS AND DIFFUSE IDIOPATHIC SKELETAL HYPEROSTOSIS: A SYSTEMATIC REVIEW.",2019,"Rheumatology (Oxford, England)"
"14","10.1111/CEN.13820",30047158,"WOS:000447378400002","THE CORTISOL STRESS RESPONSE INDUCED BY SURGERY: A SYSTEMATIC REVIEW AND META-ANALYSIS.",2019,"Clinical endocrinology"
"15","10.1371/JOURNAL.PGEN.1007452",30016313,"WOS:000440556300007","PROPER CONDITIONAL ANALYSIS IN THE PRESENCE OF MISSING DATA: APPLICATION TO LARGE SCALE META-ANALYSIS OF TOBACCO USE PHENOTYPES.",2019,"PLoS genetics"
